Original_ID,SMILES,standard_value,standard_units,relation,Activity_uM,Filter_Status,Source,Activity_Type
CHEMBL3112690,O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2ccccc21,460.0,nM,=,0.46,PASS,ChEMBL,IC50
CHEMBL2064330,Cn1c(Cc2nc(N3CCOCC3)cc(=O)[nH]2)nc2ccccc21,10000.0,nM,=,10.0,PASS,ChEMBL,IC50
CHEMBL1972466,Cc1cc(C(C)Nc2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1,10000.0,nM,=,10.0,PASS,ChEMBL,IC50
CHEMBL3125375,CC1Cc2cc(F)ccc2N1C(=O)Cc1nc(N2CCOCC2)sc1C(N)=O,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL3125394,CC1Cc2c(Cl)cccc2N1C(=O)Cc1nc(N2CCOCC2)sc1C(N)=O,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL3125393,NC(=O)c1sc(N2CCOCC2)nc1CC(=O)N1CCc2cc(Br)ccc21,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL3125392,NC(=O)c1sc(N2CCOCC2)nc1CC(=O)N1CCc2cc(Cl)ccc21,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL3125387,CC1CN(C(=O)Cc2nc(N3CCOCC3)sc2C(N)=O)c2ccccc21,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL3125386,CC1Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)sc1C(N)=O,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL3125382,O=C(O)c1sc(N2CCOCC2)nc1CC(=O)N1CCc2cc(Br)ccc21,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL3125381,CC1Cc2cc(F)ccc2N1C(=O)Cc1nc(N2CCOCC2)sc1C(=O)O,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL3125380,O=C(O)c1sc(N2CCOCC2)nc1CC(=O)N1CCc2cc(F)ccc21,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL3125379,CC1Cc2c(Cl)cccc2N1C(=O)Cc1nc(N2CCOCC2)sc1C(=O)O,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL3125377,CC1Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)sc1C(=O)O,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL3125376,O=C(O)c1sc(N2CCOCC2)nc1CC(=O)N1CCc2ccccc21,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL3125541,NC(=O)c1sc(N2CCOCC2)nc1CC(=O)Nc1ccc(F)c(Cl)c1,8280.0,nM,=,8.28,PASS,ChEMBL,IC50
CHEMBL3125388,NC(=O)c1sc(N2CCOCC2)nc1CC(=O)N1CCc2c(F)cccc21,7230.0,nM,=,7.23,PASS,ChEMBL,IC50
CHEMBL3125391,NC(=O)c1sc(N2CCOCC2)nc1CC(=O)N1CCc2cc(F)ccc21,6968.0,nM,=,6.968,PASS,ChEMBL,IC50
CHEMBL3125389,NC(=O)c1sc(N2CCOCC2)nc1CC(=O)N1CCc2c(Cl)cccc21,6333.0,nM,=,6.333,PASS,ChEMBL,IC50
CHEMBL3125385,NC(=O)c1sc(N2CCOCC2)nc1CC(=O)N1CCc2ccccc21,4075.0,nM,=,4.075,PASS,ChEMBL,IC50
CHEMBL3125384,CC1Cc2c(Br)cccc2N1C(=O)Cc1nc(N2CCOCC2)sc1C(=O)O,3107.0,nM,=,3.107,PASS,ChEMBL,IC50
CHEMBL3125378,O=C(O)c1sc(N2CCOCC2)nc1CC(=O)N1CCc2c(Cl)cccc21,2208.0,nM,=,2.208,PASS,ChEMBL,IC50
CHEMBL3125390,NC(=O)c1sc(N2CCOCC2)nc1CC(=O)N1CCc2c(Br)cccc21,2146.0,nM,=,2.146,PASS,ChEMBL,IC50
CHEMBL3125395,CC1Cc2c(Br)cccc2N1C(=O)Cc1nc(N2CCOCC2)sc1C(N)=O,1324.0,nM,=,1.324,PASS,ChEMBL,IC50
CHEMBL3125395,CC1Cc2c(Br)cccc2N1C(=O)Cc1nc(N2CCOCC2)sc1C(N)=O,1319.0,nM,=,1.319,PASS,ChEMBL,IC50
CHEMBL3125383,O=C(O)c1sc(N2CCOCC2)nc1CC(=O)N1CCc2c(Br)cccc21,1119.0,nM,=,1.119,PASS,ChEMBL,IC50
CHEMBL3125384,CC1Cc2c(Br)cccc2N1C(=O)Cc1nc(N2CCOCC2)sc1C(=O)O,395.0,nM,=,0.395,PASS,ChEMBL,IC50
CHEMBL3134265,N#Cc1cc(S(=O)(=O)c2nc(-c3cnn4ccc(Br)cc34)cs2)ccc1NCCN1CCOCC1,2130.0,nM,=,2.13,PASS,ChEMBL,IC50
CHEMBL3134282,CN(C)CCN(C)c1ccc(S(=O)(=O)c2nc(-c3cnn4ccc(Br)cc34)cs2)cc1C#N,2470.0,nM,=,2.47,PASS,ChEMBL,IC50
CHEMBL3134281,CN(C)CCN(C)c1ccc(C#N)cc1S(=O)(=O)c1nc(-c2cnn3ccc(Br)cc23)cs1,370.0,nM,=,0.37,PASS,ChEMBL,IC50
CHEMBL3134280,CN(C)CCN(C)c1ccc(C#N)cc1[S+]([O-])c1nc(-c2cnn3ccc(Br)cc23)cs1,4030.0,nM,=,4.03,PASS,ChEMBL,IC50
CHEMBL3134279,N#Cc1cc(S(=O)(=O)c2nc(-c3cnn4ccc(Br)cc34)cs2)ccc1F,170.0,nM,=,0.17,PASS,ChEMBL,IC50
CHEMBL3134278,N#Cc1ccc(F)c(S(=O)(=O)c2nc(-c3cnn4ccc(Br)cc34)cs2)c1,720.0,nM,=,0.72,PASS,ChEMBL,IC50
CHEMBL3134277,N#Cc1ccc(F)c([S+]([O-])c2nc(-c3cnn4ccc(Br)cc34)cs2)c1,300.0,nM,=,0.3,PASS,ChEMBL,IC50
CHEMBL3134276,Cc1ccccc1[S+]([O-])c1nc(-c2cnn3ccc(Br)cc23)cs1,1280.0,nM,=,1.28,PASS,ChEMBL,IC50
CHEMBL3134275,O=[N+]([O-])c1cccc(S(=O)(=O)c2nc(-c3cnn4ccc(Br)cc34)cs2)c1,630.0,nM,=,0.63,PASS,ChEMBL,IC50
CHEMBL3134274,O=[N+]([O-])c1cccc([S+]([O-])c2nc(-c3cnn4ccc(Br)cc34)cs2)c1,740.0,nM,=,0.74,PASS,ChEMBL,IC50
CHEMBL3134273,O=[N+]([O-])c1cccc(Sc2nc(-c3cnn4ccc(Br)cc34)cs2)c1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134272,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)/N=c1/scc(-c2cnn3ccc(Br)cc23)n1C,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134271,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)c1nc(-c2cnn3ccc(Br)cc23)cs1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134270,Cc1ccc([N+](=O)[O-])cc1CS(=O)(=O)c1nc(-c2cnn3ccc(Br)cc23)cs1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134269,Cc1ccc([N+](=O)[O-])cc1Nc1nc(-c2cnn3ccc(Br)cc23)cs1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134268,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)Cc1nc(-c2cnn3ccc(Br)cc23)cs1,240.0,nM,=,0.24,PASS,ChEMBL,IC50
CHEMBL3134267,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)Nc1nc(-c2cnn3ccc(Br)cc23)cs1,1260.0,nM,=,1.26,PASS,ChEMBL,IC50
CHEMBL3134266,Cc1ccc([N+](=O)[O-])cc1CSc1nc(-c2cnn3ccc(Br)cc23)cs1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134297,Cc1ccc([N+](=O)[O-])cc1Cc1nc(-c2cnn3ccc(Br)cc23)cs1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134296,Cc1ccc([N+](=O)[O-])cc1-c1nc(-c2cnn3ccc(Br)cc23)cs1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134295,Cc1ccc([N+](=O)[O-])cc1C(=O)N1CCN(Cc2cnn3ccc(C#N)cc23)CC1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134294,Cc1ccc([N+](=O)[O-])cc1C(=O)NC1CCN(Cc2cnn3ccc(C#N)cc23)CC1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134293,Cc1ccc([N+](=O)[O-])cc1C(=O)N[C@@H]1CCCN(Cc2cnn3ccc(C#N)cc23)C1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134292,Cc1ccc([N+](=O)[O-])cc1C(=O)N[C@H]1CCCN(Cc2cnn3ccc(C#N)cc23)C1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134291,Cc1ccc([N+](=O)[O-])cc1C(=O)N[C@@H]1CCN(Cc2cnn3ccc(C#N)cc23)C1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134290,Cc1ccc([N+](=O)[O-])cc1C(=O)N[C@H]1CCN(Cc2cnn3ccc(C#N)cc23)C1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134289,Cc1ccc([N+](=O)[O-])cc1C(=O)NC1CN(Cc2cnn3ccc(C#N)cc23)C1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134288,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N1CCCN(Cc2cnn3ccc(C#N)cc23)CC1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134287,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N1CCN(Cc2cnn3ccc(C#N)cc23)CC1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134286,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)NC1CCN(Cc2cnn3ccc(C#N)cc23)CC1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134285,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N[C@@H]1CCCN(Cc2cnn3ccc(C#N)cc23)C1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134284,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N[C@H]1CCCN(Cc2cnn3ccc(C#N)cc23)C1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134283,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N[C@@H]1CCN(Cc2cnn3ccc(C#N)cc23)C1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134303,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N[C@H]1CCN(Cc2cnn3ccc(C#N)cc23)C1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134302,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)NC1CN(Cc2cnn3ccc(C#N)cc23)C1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134300,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N1CCC(c2cnn3ccc(Br)cc23)CC1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3132876,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)C/C=C/c1cnn2ccc(Br)cc12,140.0,nM,=,0.14,PASS,ChEMBL,IC50
CHEMBL3134298,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N1CCC(c2cnn3ccc(Br)cc23)C1,3000.0,nM,=,3.0,PASS,ChEMBL,IC50
CHEMBL3134299,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N1CCCC(c2cnn3ccc(Br)cc23)C1,590.0,nM,=,0.59,PASS,ChEMBL,IC50
CHEMBL3134301,Cc1ccc([N+](=O)[O-])cc1C(=O)N1CCC(c2cnn3ccc(Br)cc23)CC1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134608,COc1ccc(-c2ccnc(Nc3ccc(Cl)cc3Cl)n2)cc1,738.0,nM,=,0.738,PASS,ChEMBL,IC50
CHEMBL3134607,COc1ccc(-c2ccnc(Nc3ccc([N+](=O)[O-])cc3)n2)cc1,527.0,nM,=,0.527,PASS,ChEMBL,IC50
CHEMBL3134605,COc1ccc(-c2ccnc(Nc3cccc(OC)c3)n2)cc1,615.0,nM,=,0.615,PASS,ChEMBL,IC50
CHEMBL3134606,COc1ccc(-c2ccnc(Nc3ccc(Cl)cc3)n2)cc1,552.0,nM,=,0.552,PASS,ChEMBL,IC50
CHEMBL3134604,Clc1ccc(Nc2nccc(-c3ccc(Cl)cc3Cl)n2)c(Cl)c1,772.0,nM,=,0.772,PASS,ChEMBL,IC50
CHEMBL3134601,Cc1cccc(Nc2nccc(-c3ccc(Cl)cc3Cl)n2)c1,813.0,nM,=,0.813,PASS,ChEMBL,IC50
CHEMBL3134602,COc1cccc(Nc2nccc(-c3ccc(Cl)cc3Cl)n2)c1,851.0,nM,=,0.851,PASS,ChEMBL,IC50
CHEMBL3134603,O=[N+]([O-])c1ccc(Nc2nccc(-c3ccc(Cl)cc3Cl)n2)cc1,953.0,nM,=,0.953,PASS,ChEMBL,IC50
CHEMBL244559,Nc1nc(N)c2nc(-c3cccc(O)c3)cnc2n1,165.0,nM,=,0.165,PASS,ChEMBL,IC50
CHEMBL3134621,Clc1ccc(Nc2nccc(-c3ccc(Cl)c(Cl)c3)n2)c(Cl)c1,836.0,nM,=,0.836,PASS,ChEMBL,IC50
CHEMBL3134620,O=[N+]([O-])c1ccc(Nc2nccc(-c3ccc(Cl)c(Cl)c3)n2)cc1,503.0,nM,=,0.503,PASS,ChEMBL,IC50
CHEMBL3134612,COc1cc(Nc2nccc(-c3ccc(Cl)cc3)n2)cc(OC)c1OC,341.0,nM,=,0.341,PASS,ChEMBL,IC50
CHEMBL3134619,COc1cccc(Nc2nccc(-c3ccc(Cl)c(Cl)c3)n2)c1,625.0,nM,=,0.625,PASS,ChEMBL,IC50
CHEMBL3134614,COc1cccc(Nc2nccc(-c3ccc(Br)cc3)n2)c1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL3134613,Cc1cccc(Nc2nccc(-c3ccc(Br)cc3)n2)c1,894.0,nM,=,0.894,PASS,ChEMBL,IC50
CHEMBL3134616,Clc1ccc(Nc2nccc(-c3ccc(Br)cc3)n2)cc1,914.0,nM,=,0.914,PASS,ChEMBL,IC50
CHEMBL3134617,O=[N+]([O-])c1ccc(Nc2nccc(-c3ccc(Br)cc3)n2)cc1,946.0,nM,=,0.946,PASS,ChEMBL,IC50
CHEMBL3134610,COc1cccc(Nc2nccc(-c3ccc(F)cc3)n2)c1,880.0,nM,=,0.88,PASS,ChEMBL,IC50
CHEMBL3134611,O=[N+]([O-])c1ccc(Nc2nccc(-c3ccc(F)cc3)n2)cc1,679.0,nM,=,0.679,PASS,ChEMBL,IC50
CHEMBL3134618,Clc1ccc(Nc2nccc(-c3ccc(Br)cc3)n2)c(Cl)c1,591.0,nM,=,0.591,PASS,ChEMBL,IC50
CHEMBL3134615,CC(C)c1ccccc1Nc1nccc(-c2ccc(Br)cc2)n1,792.0,nM,=,0.792,PASS,ChEMBL,IC50
CHEMBL3134609,Cc1ccc(-c2ccnc(Nc3ccc(Cl)cc3Cl)n2)cc1,1000.0,nM,>,1.0,PASS,ChEMBL,IC50
CHEMBL2018676,O=S(=O)(c1ccccc1)c1nc2ccccc2nc1N1CCOCC1,440.0,nM,=,0.44,PASS,ChEMBL,IC50
CHEMBL3221622,Cc1ccc(S(=O)(=O)c2nc3ccccc3nc2N2CCOCC2)cc1,1580.0,nM,=,1.58,PASS,ChEMBL,IC50
CHEMBL3221623,COc1ccc(S(=O)(=O)c2nc3ccccc3nc2N2CCOCC2)cc1,1400.0,nM,=,1.4,PASS,ChEMBL,IC50
CHEMBL3221624,O=S(=O)(c1ccc(Br)cc1)c1nc2ccccc2nc1N1CCOCC1,2890.0,nM,=,2.89,PASS,ChEMBL,IC50
CHEMBL3221625,O=S(=O)(c1ccc(F)cc1)c1nc2ccccc2nc1N1CCOCC1,2490.0,nM,=,2.49,PASS,ChEMBL,IC50
CHEMBL1236962,COc1ncc(-c2ccc3nccc(-c4ccnnc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,0.04,nM,=,4e-05,PASS,ChEMBL,IC50
CHEMBL592445,CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1,0.4,nM,=,0.0004,PASS,ChEMBL,IC50
CHEMBL1922094,Cc1c(CN2CCN(C(=O)[C@H](C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,5.0,nM,=,0.005,PASS,ChEMBL,IC50
CHEMBL1241857,COc1ccc2c(c1OC)N=C(NC(=O)c1cccnc1)N1CCN=C21,11.0,nM,=,0.011,PASS,ChEMBL,IC50
CHEMBL1233882,CC(C)n1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21,17.0,nM,=,0.017,PASS,ChEMBL,IC50
CHEMBL1233881,COc1ccc(-c2nn(C3CCC3)c3ncnc(N)c23)cc1OC,17.0,nM,=,0.017,PASS,ChEMBL,IC50
CHEMBL3218571,O=C1NC(=S)S/C1=C/c1ccc2c(c1)N(Cc1ccc(F)c(Cl)c1)C(=O)CO2,23.0,nM,=,0.023,PASS,ChEMBL,IC50
CHEMBL2017974,Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,30.0,nM,=,0.03,PASS,ChEMBL,IC50
CHEMBL1229535,CC(=O)/N=c1/[nH]c(C)c(-c2ccc(Cl)c(S(=O)(=O)NCCO)c2)s1,39.0,nM,=,0.039,PASS,ChEMBL,IC50
CHEMBL1081312,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,52.0,nM,=,0.052,PASS,ChEMBL,IC50
CHEMBL568150,O=C1NC(=O)/C(=C/c2ccc3nccnc3c2)S1,60.0,nM,=,0.06,PASS,ChEMBL,IC50
CHEMBL3218580,N=C(N)NCCCC(NC(=O)CCC(=O)OC[N+]1(c2cc(=O)c3cccc(-c4ccccc4)c3o2)CCOCC1)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NC(CO)C(=O)[O-],356.0,nM,=,0.356,PASS,ChEMBL,IC50
CHEMBL1230790,CC(C)n1nc(-c2cccc(O)c2)c2c(N)ncnc21,480.0,nM,=,0.48,PASS,ChEMBL,IC50
CHEMBL2216870,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,820.0,nM,=,0.82,PASS,ChEMBL,IC50
CHEMBL379156,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3O)o2)S1,940.0,nM,=,0.94,PASS,ChEMBL,IC50
CHEMBL3218574,Cc1cc(NCc2ccccc2C)c2nc(N3CCOCC3)cc(=O)n2c1,1100.0,nM,=,1.1,PASS,ChEMBL,IC50
CHEMBL1234815,Cn1nc(-c2ccc3ccccc3c2)c2c(N)ncnc21,1100.0,nM,=,1.1,PASS,ChEMBL,IC50
CHEMBL2064328,Cc1cc(C(C)Nc2ccccc2)c2oc(N3CCOCC3)cc(=O)c2c1,2600.0,nM,=,2.6,PASS,ChEMBL,IC50
CHEMBL1879463,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,4.0,nM,=,0.004,PASS,ChEMBL,IC50
CHEMBL3218573,Cc1cc(C(C)Nc2ccccc2)c2oc(-c3ccncc3)cc(=O)c2c1,4500.0,nM,=,4.5,PASS,ChEMBL,IC50
CHEMBL2181110,O=Cc1ccc(N2CCOCC2)cc1O,10000.0,nM,=,10.0,PASS,ChEMBL,IC50
CHEMBL428496,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,12.0,nM,=,0.012,PASS,ChEMBL,IC50
CHEMBL586702,FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,16.0,nM,=,0.016,PASS,ChEMBL,IC50
CHEMBL3218575,Cc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2Nc2ccc3nsnc3c2)cc1,39.0,nM,=,0.039,PASS,ChEMBL,IC50
CHEMBL3349370,COc1cc(Nc2nc3ccccc3nc2NS(=O)(=O)c2ccc(NC(=O)c3ccc(C)c(OC)c3)cc2)cc(OC)c1,39.0,nM,=,0.039,PASS,ChEMBL,IC50
CHEMBL1630537,C[C@@H]1CC[C@H]2C(C)(C)CCC[C@]2(C)c2c1oc1c(C=O)c(O)c(O)cc21,100.0,nM,=,0.1,PASS,ChEMBL,IC50
CHEMBL165,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,250.0,nM,=,0.25,PASS,ChEMBL,IC50
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,550.0,nM,=,0.55,PASS,ChEMBL,IC50
CHEMBL3218581,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1csc(C(C)(C)C)n1,32.0,nM,=,0.032,PASS,ChEMBL,IC50
CHEMBL521851,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,3.0,nM,=,0.003,PASS,ChEMBL,IC50
CHEMBL1684984,CS(=O)(=O)N1CCc2c(-c3cnc(N)nc3)nc(N3CCOCC3)nc21,14.0,nM,=,0.014,PASS,ChEMBL,IC50
CHEMBL3263869,COc1ccc(Oc2cc(C)c(-c3csc(NC(=O)c4ccnc(F)c4)n3)c(C)c2)cc1,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL1879463,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,20.0,nM,=,0.02,PASS,ChEMBL,IC50
CHEMBL3290293,Cn1cc(-c2ccc3ncc4c(c3c2)n(-c2ccc(C(C)(C)C#N)cc2)c(=O)n4C)cn1,398.0,nM,=,0.398,PASS,ChEMBL,IC50
CHEMBL3290300,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3ccccc3ncc21,3981.0,nM,=,3.981,PASS,ChEMBL,IC50
CHEMBL3290305,Cc1ccc(-n2c(=O)n(C)c3cnc4ccc(-c5ccncc5)cc4c32)cc1,631.0,nM,=,0.631,PASS,ChEMBL,IC50
CHEMBL3290307,COc1ccc(-n2c(=O)n(C)c3cnc4ccc(-c5ccncc5)cc4c32)cc1,501.0,nM,=,0.501,PASS,ChEMBL,IC50
CHEMBL573339,Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,11.0,nM,=,0.011,PASS,ChEMBL,IC50
CHEMBL573339,Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,8.0,nM,=,0.008,PASS,ChEMBL,IC50
CHEMBL1241857,COc1ccc2c(c1OC)N=C(NC(=O)c1cccnc1)N1CCN=C21,11.0,nM,=,0.011,PASS,ChEMBL,IC50
CHEMBL3218571,O=C1NC(=S)S/C1=C/c1ccc2c(c1)N(Cc1ccc(F)c(Cl)c1)C(=O)CO2,23.0,nM,=,0.023,PASS,ChEMBL,IC50
CHEMBL3354566,Cn1c(=O)n(-c2ccc(C3(C#N)CC3)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,7.0,nM,=,0.007,PASS,ChEMBL,IC50
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,600.0,nM,=,0.6,PASS,ChEMBL,IC50
CHEMBL3218581,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1csc(C(C)(C)C)n1,32.0,nM,=,0.032,PASS,ChEMBL,IC50
CHEMBL3355022,CO[C@H]1C[C@@H](c2nc3cccc(Cl)c3c(=O)n2-c2ccccc2)N(c2ncnc(N)c2C#N)C1,1300.0,nM,=,1.3,PASS,ChEMBL,IC50
CHEMBL3355021,N#Cc1c(N)ncnc1N1CSC[C@H]1c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,2340.0,nM,=,2.34,PASS,ChEMBL,IC50
CHEMBL3355021,N#Cc1c(N)ncnc1N1CSC[C@H]1c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,2340.0,nM,=,2.34,PASS,ChEMBL,IC50
CHEMBL3355020,N#Cc1cnc(N)nc1N1CCC[C@H]1c1nc2cccc(C(F)(F)F)c2c(=O)n1-c1ccccc1,3100.0,nM,=,3.1,PASS,ChEMBL,IC50
CHEMBL3355016,N#Cc1c(N)ncnc1N1CCC[C@H]1c1nc2cccc(Cl)c2c(=O)n1N1CCOCC1,1600.0,nM,=,1.6,PASS,ChEMBL,IC50
CHEMBL3355016,N#Cc1c(N)ncnc1N1CCC[C@H]1c1nc2cccc(Cl)c2c(=O)n1N1CCOCC1,1600.0,nM,=,1.6,PASS,ChEMBL,IC50
CHEMBL3355019,N#Cc1c(N)ncnc1N1CCC[C@H]1c1nc2cc(F)cc(F)c2c(=O)n1-c1ccccc1,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL3355018,N#Cc1c(N)ncnc1N1CCC[C@H]1c1nc2cccc(C(F)(F)F)c2c(=O)n1-c1ccccc1,2800.0,nM,=,2.8,PASS,ChEMBL,IC50
CHEMBL3355017,N#Cc1c(N)ncnc1N1CCC[C@H]1c1nc2cccc(Cl)c2c(=O)n1C1CCOCC1,4700.0,nM,=,4.7,PASS,ChEMBL,IC50
CHEMBL3355014,COc1cccc2nc([C@@H]3CCCN3c3ncnc(N)c3C#N)n(-c3ccccc3)c(=O)c12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL3355015,N#Cc1c(N)ncnc1N1CCC[C@H]1c1nc2cccc(Cl)c2c(=O)n1-c1cccnc1,7700.0,nM,=,7.7,PASS,ChEMBL,IC50
CHEMBL3355015,N#Cc1c(N)ncnc1N1CCC[C@H]1c1nc2cccc(Cl)c2c(=O)n1-c1cccnc1,7700.0,nM,=,7.7,PASS,ChEMBL,IC50
CHEMBL3355013,Cn1cnc2c(N3CCC[C@H]3c3nc4cccc(Cl)c4c(=O)n3-c3ccccc3)nc(N)nc21,3700.0,nM,=,3.7,PASS,ChEMBL,IC50
CHEMBL3355014,COc1cccc2nc([C@@H]3CCCN3c3ncnc(N)c3C#N)n(-c3ccccc3)c(=O)c12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL3355012,N#Cc1c(N)ncnc1N1CCC[C@H]1c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,393.0,nM,=,0.393,PASS,ChEMBL,IC50
CHEMBL3355013,Cn1cnc2c(N3CCC[C@H]3c3nc4cccc(Cl)c4c(=O)n3-c3ccccc3)nc(N)nc21,3700.0,nM,=,3.7,PASS,ChEMBL,IC50
CHEMBL3355020,N#Cc1cnc(N)nc1N1CCC[C@H]1c1nc2cccc(C(F)(F)F)c2c(=O)n1-c1ccccc1,3100.0,nM,=,3.1,PASS,ChEMBL,IC50
CHEMBL3355019,N#Cc1c(N)ncnc1N1CCC[C@H]1c1nc2cc(F)cc(F)c2c(=O)n1-c1ccccc1,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
